Ledgerstyle,county,geotype,Character2008,POP2010,WHITEONLY2010,BlackONLY2010,ASIANONLY2010,HISPANIC2010,_2010PopSqMile,POP2000,StateLegDISTRICT2011,2010FIPS,2000FIPS,EMPTY,Statemuniname,1968statecode,TreasuryTaxationcode03,Federalcode03,2003LegislativeDistrict,AlternateCountyCodestate,COUNTY00,muniname06,njmuncode,DOEco_code,DOEdist_code,DOEco_name,DOEdis_name,DOEdfg,MUNICIPALITY,AREA_IN_SQUARE_Miles00WRONG,DENSITY_PER_Square_MileWRONG,Character10,SUMLEV10,GEOCOMP10,CHARITER10,CIFSN10,LOGRECNO10,REGION10,DIVISION10,STATE10,COUNTY10,COUNTYCC10,COUNTYSC10,COUSUB10,COUSUBCC10,COUSUBSC10,CBSA10,CBSASC10,METDIV10,CSA10,CD10,SLDU10,SLDL10,SDELM10,SDSEC10,SDUNI10,AREALAND10,AREAWATR10,AREAname10,FUNCSTAT10,GCUNI10,POP10010,HU10010,INTPTLAT10,INTPTLON10,LSADC10,STATENS10,COUNTYNS10,COUSUBNS10,PLACENS,CSASC10,MEMI10,PUMA10,RESERVED10,2010FIPS,SUMLEV00,LOGRECNO00,STATECE00,STATEFIPS00,COUNTYFIPS00,COUNTYSC00,COUSUBFIPS00,COUSUBCC00,COUSUBSC00,PLACE00,PLACECC00,PLACEDC00,MSACMSA00,MASC00,CMSA00,MACCI00,PMSA00,CD106,AREALAND00,AREAWATR00,NAME00,FUNCSTAT00,GCUNI00,POP10000,HU10000,INTPTLAT00,INTPTLON00,LSADC00,2000FIPS,LANDSQMI2010,WATRSQMI2010,TOTSQMI2010,_2010PopSqMile,LANDSQMILE2000,WATRSQMILE2000,TOTSQMILE2000,_2000PopSqMile
Estell Manor,Atlantic,city,Rural,1735,1674,16,28,18,32.53899116,1585,1,3400121870,3400121870,,Estell Manor City,109,109,34001045,2,A09,1,Estell Manor,109,,,,,,Estell Manor City,53.75,32.3,Rural ,60,0,0,  ,4496,1,2,34,1,H1,19,21870,C5,10,12100,19,99999,999,,,,,,,138099831,4604332,Estell Manor city                                                                         ,F,!,1735,673,39.3539329,-74.775135,25,1779795,882270,885212,        ,0,1,     ,                  ,3400121870,60,4019,22,34,1,19,21870,C5,10,     ,  ,9,6162,23,77,N,560,  ,138739378,3477169,Estell Manor city                                                                         ,F,N,1585,546,39374822,-74771300,25,3400121870,53.32064512,1.7777426,55.09838772,32.53899116,53.5675756,1.342542514,54.91011812,29.58879475
Folsom,Atlantic,borough                                                                            ,Rural,1885,1714,79,16,127,229.8188635,1972,2,3400123940,3400123940,,Folsom Boro,110,110,34001050,9,A10,1,Folsom,110,,,,,,Folsom Boro,8.4,224.4,Rural ,60,0,0,  ,4791,1,2,34,1,H1,19,23940,C5,10,12100,19,99999,999,,,,,,,21243371,611734,Folsom borough                                                                            ,F,!,1885,717,39.5945366,-74.8439723,21,1779795,882270,885222,        ,0,1,     ,                  ,3400123940,60,4218,22,34,1,19,23940,C5,10,     ,  ,9,6162,23,77,N,560,  ,21419041,480096,Folsom borough                                                                            ,F,N,1972,702,39592363,-74847887,21,3400123940,8.202111747,0.236191828,8.438303575,229.8188635,8.269938316,0.18536611,8.455304426,238.4540156
Galloway,Atlantic,township                                                                         ,Rural,37349,26860,4271,3744,3752,419.3019974,31209,9,3400125560,3400125560,,Galloway Twp.,111,111,34001055,2,A11,1,Galloway,111,,,,,,Galloway Twp.,91.75,407.1,Rural ,60,0,0,  ,4955,1,2,34,1,H1,19,25560,T1,16,12100,19,99999,999,,,,,,,230701171,67700889,Galloway township                                                                         ,A,!,37349,14132,39.4914527,-74.4738654,44,1779795,882270,882052,        ,0,1,     ,                  ,3400125560,60,4380,22,34,1,19,25560,T1,16,     ,  ,0,6162,23,77,N,560,  ,234359500,62973779,Galloway township                                                                         ,A,Y,31209,11406,39492797,-74559507,44,3400125560,89.0742239,26.13946049,115.2136844,419.3019974,90.48671268,24.31431304,114.8010257,344.9014676
Hamilton,Atlantic,township                                                                         ,Rural Center,26503,18011,4916,1435,3390,238.4926266,20499,2,3400129280,3400129280,,Hamilton Twp.,112,112,34001060,2,A12,1,Hamilton,112,,,,,,Hamilton Twp.,113.4,233.7,Rural ,60,0,0,  ,6226,1,2,34,1,H1,19,29280,T1,16,12100,19,99999,999,,,,,,,287817921,5022710,Hamilton township                                                                         ,A,!,26503,10196,39.4819493,-74.7373791,44,1779795,882270,882049,        ,0,1,     ,                  ,3400129280,60,5281,22,34,1,19,29280,T1,15,     ,  ,0,6162,23,77,N,560,  ,288221182,4421521,Hamilton township                                                                         ,A,N,20499,7567,39484865,-74758620,44,3400129280,111.1271253,1.939279255,113.0664046,238.4926266,111.2828252,1.707158875,112.9899841,184.2063225
Hammonton,Atlantic,town                                                                            ,Rural Center,14791,12080,444,203,3096,361.7519813,12604,8,3400129430,3400129430,,Hammonton Town,113,113,34001065,9,A13,1,Hammonton,113,,,,,,Hammonton Town,41.8,353.9,Rural ,60,0,0,  ,7806,1,2,34,1,H1,19,29430,C5,14,12100,19,99999,999,,,,,,,105897174,1377196,Hammonton town                                                                            ,F,!,14791,5715,39.66078,-74.7670211,43,1779795,882270,885242,        ,0,1,     ,                  ,3400129430,60,6439,22,34,1,19,29430,C5,14,     ,  ,9,6162,23,77,N,560,  ,106861875,551687,Hammonton town                                                                            ,F,N,12604,4843,39641181,-74786162,43,3400129430,40.88712921,0.531738371,41.41886758,361.7519813,41.25960236,0.213007551,41.47260991,305.480404
Linwood,Atlantic,city                                                                              ,Suburban,7092,6608,69,269,210,1834.894685,7172,2,3400140530,3400140530,,Linwood City,114,114,34001070,2,A14,1,Linwood,114,,,,,,Linwood City,3.8,"1,866.30",Suburban ,60,0,0,  ,8364,1,2,34,1,H1,19,40530,C5,13,12100,19,99999,999,,,,,,,10010490,976883,Linwood city                                                                              ,F,!,7092,2798,39.3437182,-74.5710495,25,1779795,882270,885280,        ,0,1,     ,                  ,3400140530,60,6945,22,34,1,19,40530,C5,13,     ,  ,9,6162,23,77,N,560,  ,9914962,812554,Linwood city                                                                              ,F,Y,7172,2751,39348044,-74572325,25,3400140530,3.865071962,0.377176651,4.242248613,1834.894685,3.828188393,0.313728867,4.14191726,1873.471016
Longport,Atlantic,borough                                                                          ,Suburban,895,885,3,4,10,2323.667182,1054,2,3400141370,3400141370,,Longport Boro,115,115,34001075,2,A15,1,Longport,115,,,,,,Longport Boro*,0.3,"2,983.30",Suburban ,60,0,0,  ,8610,1,2,34,1,H1,19,41370,C5,8,12100,19,99999,999,,,,,,,997578,3042745,Longport borough                                                                          ,F,!,895,1656,39.3107736,-74.5262427,21,1779795,882270,885286,        ,0,1,     ,                  ,3400141370,60,7163,22,34,1,19,41370,C5,9,     ,  ,9,6162,23,77,N,560,  ,987206,3223647,Longport borough                                                                          ,F,N,1054,1574,39315166,-74524907,21,3400141370,0.385167036,1.174810462,1.559977498,2323.667182,0.381162384,1.244657118,1.625819502,2765.225649
Margate City,Atlantic,city,Urban Suburb,6354,6123,45,62,175,4490.295207,8193,2,3400143890,3400143890,,Margate City,116,116,34001080,2,A16,1,Margate City,116,,,,,,Margate City*,1.4,"4,538.60",Urban Center ,60,0,0,  ,8728,1,2,34,1,H1,19,43890,C5,13,12100,19,99999,999,,,,,,,3664967,559648,Margate City city                                                                         ,F,!,6354,7114,39.3309129,-74.5068485,25,1779795,882270,885292,        ,0,1,     ,                  ,3400143890,60,7304,22,34,1,19,43890,C5,13,     ,  ,9,6162,23,77,N,560,  ,3642634,456238,Margate City city                                                                         ,F,N,8193,7006,39329416,-74506613,25,3400143890,1.41505173,0.21608131,1.63113304,4490.295207,1.40642891,0.176154484,1.582583394,5825.392198
Mullica,Atlantic,township                                                                          ,Rural,6147,5118,349,42,1046,108.9483259,5912,2,3400149410,3400149410,,Mullica Twp.,117,117,34001085,2,A17,1,Mullica,117,,,,,,Mullica Twp.,56.5,108.8,Rural ,60,0,0,  ,9046,1,2,34,1,H1,19,49410,T1,13,12100,19,99999,999,,,,,,,146130343,1246387,Mullica township                                                                          ,A,!,6147,2360,39.6036868,-74.678036,44,1779795,882270,882053,        ,0,1,     ,                  ,3400149410,60,7667,22,34,1,19,49410,T1,13,     ,  ,0,6162,23,77,N,560,  ,146551309,924520,Mullica township                                                                          ,A,N,5912,2176,39584625,-74687312,44,3400149410,56.42124326,0.481232732,56.902476,108.9483259,56.58377915,0.356959183,56.94073834,104.4822401
Northfield,Atlantic,city                                                                           ,Suburban,8624,7515,279,388,690,2533.677143,7725,2,3400152950,3400152950,,Northfield City,118,118,34001090,2,A18,1,Northfield,118,,,,,,Northfield City,3.5,"2,464.00",Suburban ,60,0,0,  ,9740,1,2,34,1,H1,19,52950,C5,13,12100,19,99999,999,,,,,,,8815668,102341,Northfield city                                                                           ,F,!,8624,3260,39.371058,-74.5548216,25,1779795,882270,885324,        ,0,1,     ,                  ,3400152950,60,8269,22,34,1,19,52950,C5,13,     ,  ,9,6162,23,77,N,560,  ,8873118,63853,Northfield city                                                                           ,F,Y,7725,2922,39370066,-74554118,25,3400152950,3.403748589,0.039514083,3.443262672,2533.677143,3.425930159,0.024653782,3.450583941,2254.862079
Pleasantville,Atlantic,city                                                                        ,Suburban,20249,4926,9303,490,8314,3556.461328,19012,2,3400159640,3400159640,,Pleasantville City,119,119,34001095,2,A19,1,Pleasantville,119,,,,,,Pleasantville City,5.8,"3,491.20",Suburban ,60,0,0,  ,9955,1,2,34,1,H1,19,59640,C5,15,12100,19,99999,999,,,,,,,14746306,4154457,Pleasantville city                                                                        ,F,!,20249,7219,39.3888001,-74.5142625,25,1779795,882270,885356,        ,0,1,     ,                  ,3400159640,60,8460,22,34,1,19,59640,C5,14,     ,  ,9,6162,23,77,N,560,  ,14960760,4007576,Pleasantville city                                                                        ,F,Y,19012,7042,39395566,-74522956,25,3400159640,5.69358082,1.604044884,7.297625703,3556.461328,5.776381976,1.54733381,7.323715786,3291.333586
Port Republic City,Atlantic,city,Rural,1115,1068,7,10,33,149.0277413,1037,9,3400160600,3400160600,,Port Republic City,120,120,34001100,2,A20,1,Port Republic City,120,,,,,,Port Republic City,8.1,137.7,Rural ,60,0,0,  ,10411,1,2,34,1,H1,19,60600,C5,9,12100,19,99999,999,,,,,,,19377846,2852354,Port Republic city                                                                        ,F,!,1115,444,39.5343807,-74.4769806,25,1779795,882270,885360,        ,0,1,     ,                  ,3400160600,60,8827,22,34,1,19,60600,C5,9,     ,  ,9,6162,23,77,N,560,  ,19745547,2724705,Port Republic city                                                                        ,F,Y,1037,389,39527903,-74491709,25,3400160600,7.481828487,1.101300083,8.583128571,149.0277413,7.623798643,1.052014527,8.67581317,136.0214309
Somers Point,Atlantic,city,Suburban,10795,8501,1153,332,1024,2678.80368,11614,2,3400168430,3400168430,,Somers Point City,121,121,34001105,1,A21,1,Somers Point,121,,,,,,Somers Point City,4.08,"2,645.80",Suburban ,60,0,0,  ,10511,1,2,34,1,H1,19,68430,C5,14,12100,19,99999,999,,,,,,,10437092,2923805,Somers Point city                                                                         ,F,!,10795,5556,39.3160799,-74.6067702,25,1779795,882270,885397,        ,0,1,     ,                  ,3400168430,60,8887,22,34,1,19,68430,C5,14,     ,  ,9,6162,23,77,N,560,  ,10433310,2945084,Somers Point city                                                                         ,F,N,11614,5402,39319165,-74600300,25,3400168430,4.029783922,1.12888747,5.158671392,2678.80368,4.028323683,1.137103338,5.165427021,2883.085103
Ventnor City,Atlantic,city,Urban Suburb,10650,8076,453,924,1922,5457.419957,12910,2,3400175620,3400175620,,Ventnor City,122,122,34001110,2,A22,1,Ventnor City,122,,,,,,Ventnor City*,2.1,"5,071.40",Urban Center ,60,0,0,  ,10853,1,2,34,1,H1,19,75620,C5,14,12100,19,99999,999,,,,,,,5054288,4068446,Ventnor City city                                                                         ,F,!,10650,7829,39.3420656,-74.4828179,25,1779795,882270,885426,        ,0,1,     ,                  ,3400175620,60,9201,22,34,1,19,75620,C5,14,     ,  ,9,6162,23,77,N,560,  ,5551350,3634168,Ventnor City city                                                                         ,F,N,12910,8009,39342299,-74481922,25,3400175620,1.95147159,1.570835849,3.522307439,5457.419957,2.143388309,1.403160169,3.546548478,6023.173657
Weymouth Township,Atlantic,township                                                                         ,Rural,2715,2499,129,24,124,224.5804663,2257,1,3400180330,3400180330,,Weymouth Twp.,123,123,34001115,2,A23,1,Weymouth Township,123,,,,,,Weymouth Twp.,12,226.3,Rural ,60,0,0,  ,11165,1,2,34,1,H1,19,80330,T1,12,12100,19,99999,999,,,,,,,31310904,934720,Weymouth township                                                                         ,A,!,2715,1220,39.3963304,-74.8269553,44,1779795,882270,882050,        ,0,1,     ,                  ,3400180330,60,9533,22,34,1,19,80330,T1,11,     ,  ,0,6162,23,77,N,560,  ,31598671,950999,Weymouth township                                                                         ,A,N,2257,909,39421627,-74788922,44,3400180330,12.08920814,0.360897425,12.45010556,224.5804663,12.2003156,0.367182782,12.56749838,184.9952144
Bergen County                                                                             ,Bergen,County                                                                             ,,905116,,,,,3884.470408,884118,,34003,34003,,,,,,,,3,,,,,,,,,,,,50,0,0,  ,11610,1,2,34,3,H1,20,     ,  ,  ,35620,23,35644,408,,,,,,,603490137,35385294,Bergen County                                                                             ,A,!,905116,352388,40.9590904,-74.0745218,6,1779795,882271,        ,        ,23,1,     ,                  ,34003,50,9926,22,34,3,20,     ,  ,  ,     ,  ,0,5602,23,70,N,875,  ,606500068,32700752,Bergen County                                                                             ,A,Y,884118,339820,40930457,-74059037,6,34003,233.0088545,13.66233898,246.6711935,3884.470408,234.1709954,12.62583147,246.7968269,3775.52309
Allendale,Bergen,borough                                                                         ,Suburban,6505,5686,33,627,304,2100.673752,6699,40,3400300700,3400300700,,Allendale Boro,201,201,34003005,39,B01,3,Allendale,201,,,,,,Allendale Boro,3,"2,168.30",Suburban ,60,0,0,  ,11611,1,2,34,3,H1,20,700,C5,13,35620,23,35644,408,,,,,,,8020223,55929,Allendale borough                                                                         ,F,!,6505,2388,41.032669,-74.1338262,21,1779795,882271,885135,        ,23,1,     ,                  ,3400300700,60,9927,22,34,3,20,700,C5,13,     ,  ,9,5602,23,70,N,875,  ,8092694,65253,Allendale borough                                                                         ,F,Y,6699,2143,41032713,-74133824,21,3400300700,3.096625544,0.021594309,3.118219853,2100.673752,3.124606755,0.025194325,3.14980108,2143.949791
Alpine,Bergen,borough                                                                            ,Suburban,1849,1260,44,482,89,288.423139,2183,37,3400301090,3400301090,,Alpine Boro,202,202,34003010,39,B02,3,Alpine,202,,,,,,Alpine Boro,6.2,298.2,Suburban ,60,0,0,  ,11701,1,2,34,3,H1,20,1090,C5,10,35620,23,35644,408,,,,,,,16603688,7306680,Alpine borough                                                                            ,F,!,1849,670,40.9681488,-73.9171502,21,1779795,882271,885139,        ,23,1,     ,                  ,3400301090,60,10029,22,34,3,20,1090,C5,11,     ,  ,9,5602,23,70,N,875,  ,16461774,7295059,Alpine borough                                                                            ,F,Y,2183,730,40954346,-73930472,21,3400301090,6.41072005,2.82112504,9.23184509,288.423139,6.355926746,2.816638147,9.172564892,343.4589616
Bergenfield,Bergen,borough                                                                       ,Urban Suburb,26764,14029,2060,6851,7097,9306.467151,26247,38,3400305170,3400305170,,Bergenfield Boro,203,203,34003015,37,B03,3,Bergenfield,203,,,,,,Bergenfield Boro,3,"8,921.30",Urban Center ,60,0,0,  ,11772,1,2,34,3,H1,20,5170,C5,16,35620,23,35644,408,,,,,,,7448416,24380,Bergenfield borough                                                                       ,F,!,26764,9200,40.9223342,-73.9980008,21,1779795,882271,885157,        ,23,1,     ,                  ,3400305170,60,10092,22,34,3,20,5170,C5,16,     ,  ,9,5602,23,70,N,875,  ,7498742,10756,Bergenfield borough                                                                       ,F,N,26247,9147,40923748,-73998795,21,3400305170,2.875849618,0.009413171,2.885262789,9306.467151,2.895280596,0.004152915,2.899433511,9065.442582
Bogota,Bergen,borough                                                                            ,Urban Suburb,8187,4994,771,803,3169,10702.54859,8249,37,3400306490,3400306490,,Bogota Boro,204,204,34003020,37,B04,3,Bogota,204,,,,,,Bogota Boro,0.7,"11,695.70",Urban Center ,60,0,0,  ,12172,1,2,34,3,H1,20,6490,C5,13,35620,23,35644,408,,,,,,,1981232,124911,Bogota borough                                                                            ,F,!,8187,2888,40.8742872,-74.0297346,21,1779795,882271,885163,        ,23,1,     ,                  ,3400306490,60,10488,22,34,3,20,6490,C5,13,     ,  ,9,5602,23,70,N,875,  ,1970687,150321,Bogota borough                                                                            ,F,N,8249,2915,40873876,-74027699,21,3400306490,0.764957984,0.048228409,0.813186393,10702.54859,0.760886537,0.058039265,0.818925802,10841.30103
Carlstadt,Bergen,borough                                                                         ,Urban Suburb,6127,4988,146,504,1104,1532.076973,5917,36,3400310480,3400310480,,Carlstadt Boro,205,205,34003025,36,B05,3,Carlstadt,205,,,,,,Carlstadt Boro,4.2,"1,458.80",Urban Center ,60,0,0,  ,12295,1,2,34,3,H1,20,10480,C5,13,35620,23,35644,408,,,,,,,10357741,631509,Carlstadt borough                                                                         ,F,!,6127,2495,40.8264242,-74.0623383,21,1779795,882271,885180,        ,23,1,     ,                  ,3400310480,60,10614,22,34,3,20,10480,C5,13,     ,  ,9,5602,23,70,N,875,  ,10241142,717880,Carlstadt borough                                                                         ,F,Y,5917,2473,40836473,-74081237,21,3400310480,3.999146328,0.243826998,4.242973327,1532.076973,3.954127201,0.277175029,4.23130223,1496.411142
Cliffside Park,Bergen,borough,Urban Suburb,23594,16541,776,3252,6704,24508.66968,23007,36,3400313570,3400313570,,Cliffside Park Boro,206,206,34003030,38,B06,3,Cliffside Park,206,,,,,,Cliffside Park Boro,0.96,"24,577.10",Urban Center ,60,0,0,  ,12458,1,2,34,3,H1,20,13570,C5,15,35620,23,35644,408,,,,,,,2493329,0,Cliffside Park borough                                                                    ,F,!,23594,10665,40.8220805,-73.9878336,21,1779795,882271,885187,        ,23,1,     ,                  ,3400313570,60,10769,22,34,3,20,13570,C5,15,     ,  ,9,5602,23,70,N,875,  ,2498687,0,Cliffside Park borough                                                                    ,F,N,23007,10375,40821540,-73989493,21,3400313570,0.96267975,0,0.96267975,24508.66968,0.964748485,0,0.964748485,23847.66636
