COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SUBGROUP,2014 Adjusted Cohort Grad Rate,2013 Adjusted Cohort Grad Rate,2012 Adjusted Cohort Grad Rate,2011 Adjusted Cohort Grad Rate
03,BERGEN,0440,BOGOTA BORO,020,BOGOTA JR./SR. HIGH SCHOOL,S,94.74%,95.45%,91.67%,94.34%
03,BERGEN,0440,BOGOTA BORO,999,Districtwide Total,D,94.74%,95.45%,91.67%,94.34%
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,050,HENRY P. BECTON REGIONAL HIGH SCHOOL,S,83.55%,92.47%,86.09%,88.49%
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,999,Districtwide Total,D,83.55%,92.47%,86.09%,88.49%
03,BERGEN,0890,CLIFFSIDE PARK BORO,030,CLIFFSIDE PARK HIGH SCHOOL,S,84.05%,79.51%,79.60%,79.42%
03,BERGEN,0890,CLIFFSIDE PARK BORO,999,Districtwide Total,D,84.05%,79.51%,79.60%,79.42%
03,BERGEN,0990,CRESSKILL BORO,040,CRESSKILL HIGH SCHOOL,S,98.11%,96.85%,97.87%,96.55%
03,BERGEN,0990,CRESSKILL BORO,999,Districtwide Total,D,98.11%,96.85%,97.87%,96.55%
03,BERGEN,1130,DUMONT BORO,040,DUMONT HIGH SCHOOL,S,95.58%,96.79%,95.43%,93.10%
03,BERGEN,1130,DUMONT BORO,999,Districtwide Total,D,95.58%,96.79%,95.43%,93.10%
03,BERGEN,1345,ELMWOOD PARK,050,MEMORIAL SENIOR HIGH SCHOOL,S,84.21%,88.41%,76.61%,86.57%
03,BERGEN,1345,ELMWOOD PARK,999,Districtwide Total,D,84.21%,88.41%,76.61%,86.57%
03,BERGEN,1360,EMERSON BORO,050,EMERSON JR SR HIGH,S,98.81%,97.56%,95.40%,93.68%
03,BERGEN,1360,EMERSON BORO,999,Districtwide Total,D,98.81%,97.56%,95.40%,93.68%
03,BERGEN,1370,ENGLEWOOD CITY,040,DWIGHT MORROW HIGH SCHOOL/ACADEMIES@ENGLEWOOD,S,84.08%,83.50%,86.36%,81.51%
03,BERGEN,1370,ENGLEWOOD CITY,999,Districtwide Total,D,84.08%,83.50%,86.36%,81.51%
03,BERGEN,1450,FAIR LAWN BORO,050,FAIR LAWN HIGH SCHOOL,S,94.86%,95.76%,94.72%,95.44%
03,BERGEN,1450,FAIR LAWN BORO,999,Districtwide Total,D,94.86%,95.76%,94.72%,95.44%
03,BERGEN,1550,FORT LEE BORO,050,FORT LEE HIGH SCHOOL,S,92.16%,96.05%,96.48%,95.08%
03,BERGEN,1550,FORT LEE BORO,999,Districtwide Total,D,92.16%,96.05%,96.48%,95.08%
03,BERGEN,1700,GARFIELD CITY,050,GARFIELD HIGH SCHOOL,S,87.32%,78.05%,79.36%,78.62%
03,BERGEN,1700,GARFIELD CITY,999,Districtwide Total,D,87.32%,78.05%,79.36%,78.62%
03,BERGEN,1760,GLEN ROCK BORO,050,GLEN ROCK HIGH SCHOOL,S,98.28%,99.43%,97.61%,99.47%
03,BERGEN,1760,GLEN ROCK BORO,999,Districtwide Total,D,98.28%,99.43%,97.61%,99.47%
03,BERGEN,1860,HACKENSACK CITY,050,HACKENSACK HIGH SCHOOL,S,86.90%,87.55%,82.77%,88.10%
03,BERGEN,1860,HACKENSACK CITY,999,Districtwide Total,D,86.90%,87.55%,82.77%,88.10%
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,050,HASBROUCK HEIGHTS HIGH SCHOOL,S,94.04%,93.84%,94.35%,95.54%
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,999,Districtwide Total,D,94.04%,93.84%,94.35%,95.54%
03,BERGEN,2620,LEONIA BORO,050,LEONIA HIGH SCHOOL,S,88.89%,93.29%,87.79%,88.89%
03,BERGEN,2620,LEONIA BORO,999,Districtwide Total,D,88.89%,93.29%,87.79%,88.89%
03,BERGEN,2740,LODI BOROUGH,050,LODI HIGH SCHOOL,S,86.49%,83.08%,80.80%,77.51%
03,BERGEN,2740,LODI BOROUGH,999,Districtwide Total,D,86.49%,83.08%,80.80%,77.51%
03,BERGEN,2860,LYNDHURST TWP,050,LYNDHURST HIGH SCHOOL,S,97.37%,95.21%,92.08%,91.62%
03,BERGEN,2860,LYNDHURST TWP,999,Districtwide Total,D,97.37%,95.21%,92.08%,91.62%
03,BERGEN,2900,MAHWAH TWP,050,MAHWAH HIGH,S,97.61%,94.02%,94.68%,96.17%
03,BERGEN,2900,MAHWAH TWP,999,Districtwide Total,D,97.61%,94.02%,94.68%,96.17%
03,BERGEN,3170,MIDLAND PARK BORO,050,MIDLAND PARK JR./SR. HIGH SCHOOL,S,93.15%,92.78%,93.90%,95.65%
03,BERGEN,3170,MIDLAND PARK BORO,999,Districtwide Total,D,93.15%,92.78%,93.90%,95.65%
03,BERGEN,3550,NEW MILFORD BORO,050,NEW MILFORD HIGH SCHOOL,S,97.08%,94.74%,97.14%,92.90%
03,BERGEN,3550,NEW MILFORD BORO,999,Districtwide Total,D,97.08%,94.74%,97.14%,92.90%
03,BERGEN,3600,NORTH ARLINGTON BORO,050,NORTH ARLINGTON HIGH SCHOOL,S,93.70%,96.00%,91.60%,93.44%
03,BERGEN,3600,NORTH ARLINGTON BORO,999,Districtwide Total,D,93.70%,96.00%,91.60%,93.44%
03,BERGEN,3700,NORTHERN HIGHLANDS REG,050,NORTHERN HIGHLANDS REGIONAL HIGH SCHOOL,S,98.21%,98.83%,98.89%,96.53%
03,BERGEN,3700,NORTHERN HIGHLANDS REG,999,Districtwide Total,D,98.21%,98.83%,98.89%,96.53%
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,050,NORTHERN VALLEY REGIONAL HIGH SCHOOL AT DEMAREST,S,96.36%,97.85%,99.65%,97.26%
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,060,NORTHER VALLEY REG OLD TAPPEN HIGH SCHOO,S,96.57%,96.97%,96.37%,97.13%
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,999,Districtwide Total,D,96.47%,97.41%,97.81%,97.19%
03,BERGEN,3910,PALISADES PARK,050,PALISADES PARK JR-SR HIGH SCHOOL,S,88.10%,90.38%,92.04%,75.86%
03,BERGEN,3910,PALISADES PARK,999,Districtwide Total,D,88.10%,90.38%,92.04%,75.86%
03,BERGEN,3930,PARAMUS BORO,050,PARAMUS HIGH SCHOOL,S,95.33%,97.33%,97.11%,93.45%
03,BERGEN,3930,PARAMUS BORO,999,Districtwide Total,D,95.33%,97.33%,97.11%,93.45%
03,BERGEN,3940,PARK RIDGE BORO,050,PARK RIDGE HIGH SCHOOL,S,99.10%,97.85%,96.94%,98.68%
03,BERGEN,3940,PARK RIDGE BORO,999,Districtwide Total,D,99.10%,97.85%,96.94%,98.68%
03,BERGEN,3960,PASCACK VALLEY REGIONAL,040,PASCACK HILLS HIGH SCHOOL,S,98.98%,98.60%,98.51%,97.72%
03,BERGEN,3960,PASCACK VALLEY REGIONAL,050,PASCACK VALLEY HIGH SCHOOL,S,97.50%,97.31%,98.98%,97.59%
03,BERGEN,3960,PASCACK VALLEY REGIONAL,999,Districtwide Total,D,98.02%,97.82%,98.79%,97.64%
03,BERGEN,4300,RAMAPO-INDIAN HILL REG,030,INDIAN HILLS HIGH SCHOOL,S,96.10%,93.97%,95.86%,94.00%
03,BERGEN,4300,RAMAPO-INDIAN HILL REG,050,RAMAPO HIGH SCHOOL,S,98.36%,97.44%,95.26%,96.77%
03,BERGEN,4300,RAMAPO-INDIAN HILL REG,999,Districtwide Total,D,97.22%,95.70%,95.58%,95.48%
03,BERGEN,4310,RAMSEY BORO,050,RAMSEY HIGH SCHOOL,S,97.61%,96.99%,96.33%,96.93%
03,BERGEN,4310,RAMSEY BORO,999,Districtwide Total,D,97.61%,96.99%,96.33%,96.93%
03,BERGEN,4370,RIDGEFIELD BORO,050,RIDGEFIELD MEMORIAL HIGH SCHOOL,S,88.51%,88.16%,89.44%,75.90%
03,BERGEN,4370,RIDGEFIELD BORO,999,Districtwide Total,D,88.51%,83.85%,89.44%,75.90%
03,BERGEN,4380,RIDGEFIELD PARK TWP,050,RIDGEFIELD PARK JR SR HIGH SCHOOL,S,91.27%,91.15%,87.18%,93.36%
03,BERGEN,4380,RIDGEFIELD PARK TWP,999,Districtwide Total,D,91.27%,91.15%,87.18%,93.36%
03,BERGEN,4390,RIDGEWOOD VILLAGE,050,RIDGEWOOD HIGH SCHOOL,S,97.89%,97.11%,96.77%,97.41%
03,BERGEN,4390,RIDGEWOOD VILLAGE,999,Districtwide Total,D,97.89%,97.11%,96.77%,97.41%
03,BERGEN,4405,RIVER DELL REGIONAL,050,RIVER DELL REGIONAL HIGH SCHOOL,S,97.11%,97.54%,96.69%,93.25%
03,BERGEN,4405,RIVER DELL REGIONAL,999,Districtwide Total,D,97.11%,97.54%,96.69%,93.25%
03,BERGEN,4600,RUTHERFORD BORO,050,RUTHERFORD HIGH SCHOOL,S,95.96%,91.49%,89.66%,93.79%
03,BERGEN,4600,RUTHERFORD BORO,999,Districtwide Total,D,95.96%,91.49%,89.66%,93.79%
03,BERGEN,4610,SADDLE BROOK TWP,050,SADDLE BROOK MIDDLE/HIGH SCHOOL,S,87.01%,89.23%,94.44%,91.67%
03,BERGEN,4610,SADDLE BROOK TWP,999,Districtwide Total,D,87.01%,89.23%,94.44%,91.67%
03,BERGEN,5150,TEANECK TWP,050,TEANECK HIGH SCHOOL,S,91.33%,91.95%,89.67%,91.69%
03,BERGEN,5150,TEANECK TWP,999,Districtwide Total,D,91.33%,91.95%,89.67%,91.69%
03,BERGEN,5160,TENAFLY BORO,050,TENAFLY HIGH SCHOOL,S,98.26%,97.35%,98.18%,97.43%
03,BERGEN,5160,TENAFLY BORO,999,Districtwide Total,D,98.26%,97.35%,98.18%,97.43%
03,BERGEN,5410,WALDWICK BORO,030,WALDWICK HIGH SCHOOL,S,91.73%,97.20%,93.65%,94.59%
03,BERGEN,5410,WALDWICK BORO,999,Districtwide Total,D,91.73%,97.20%,93.65%,94.59%
03,BERGEN,5430,WALLINGTON BORO,050,WALLINGTON JUNIOR SENIOR HIGH SCHOOL,S,87.50%,95.00%,90.10%,94.62%
03,BERGEN,5430,WALLINGTON BORO,999,Districtwide Total,D,87.50%,95.00%,90.10%,94.62%
03,BERGEN,5755,WESTWOOD REGIONAL,050,WESTWOOD JUNIONR/SENIOR HIGH SCHOOL,S,92.97%,94.92%,95.02%,94.69%
03,BERGEN,5755,WESTWOOD REGIONAL,999,Districtwide Total,D,92.97%,94.92%,95.02%,94.69%
03,BERGEN,5830,WOOD-RIDGE BORO,050,WOOD-RIDGE HIGH SCHOOL,S,90.53%,87.23%,87.88%,83.00%
03,BERGEN,5830,WOOD-RIDGE BORO,999,Districtwide Total,D,90.53%,87.23%,87.88%,83.00%
05,BURLINGTON,0475,BORDENTOWN REGIONAL,050,BORDENTOWN REGIONAL HIGH SCHOOL,S,90.96%,91.91%,93.44%,91.16%
05,BURLINGTON,0475,BORDENTOWN REGIONAL,999,Districtwide Total,D,90.96%,91.91%,93.44%,91.16%
05,BURLINGTON,0600,BURLINGTON CITY,020,BULINGTON CITY HIGH SCHOOL,S,82.22%,78.20%,76.36%,85.94%
05,BURLINGTON,0600,BURLINGTON CITY,999,Districtwide Total,D,82.22%,78.20%,76.36%,85.94%
05,BURLINGTON,0610,BURLINGTON CO VOCATIONAL,030,BURLINGTON COUNTY INST OF TECH - WESTHAMPTON,S,95.40%,96.03%,94.32%,93.60%
05,BURLINGTON,0610,BURLINGTON CO VOCATIONAL,040,BURLINGTON COUNTY INST OF TECH - MEDFORD,S,94.67%,91.05%,92.49%,94.30%
05,BURLINGTON,0610,BURLINGTON CO VOCATIONAL,999,Districtwide Total,D,95.10%,94.11%,93.59%,93.91%
05,BURLINGTON,0620,BURLINGTON TWP,010,BURLINGTON TOWNSHIP HIGH SCHOOL,S,96.81%,95.13%,92.51%,95.13%
05,BURLINGTON,0620,BURLINGTON TWP,999,Districtwide Total,D,96.81%,95.13%,92.51%,95.13%
05,BURLINGTON,0840,CINNAMINSON TWP,030,CINNAMINSON HIGH SCHOOL,S,97.73%,97.98%,96.68%,92.23%
05,BURLINGTON,0840,CINNAMINSON TWP,999,Districtwide Total,D,97.73%,97.98%,96.68%,92.23%
05,BURLINGTON,1060,DELRAN TWP,005,DELRAN HIGH SCHOOL,S,92.74%,93.72%,88.19%,93.45%
05,BURLINGTON,1060,DELRAN TWP,999,Districtwide Total,D,92.74%,93.72%,88.19%,93.45%
05,BURLINGTON,1520,FLORENCE TWP,050,FLORENCE TOWNSHIP MEMORIAL HIGH SCHOOL,S,86.54%,82.64%,86.92%,83.62%
05,BURLINGTON,1520,FLORENCE TWP,999,Districtwide Total,D,86.54%,82.64%,86.92%,83.62%
05,BURLINGTON,2610,LENAPE REGIONAL,040,CHEROKEE HIGH SCHOOL,S,96.60%,96.39%,96.44%,97.47%
05,BURLINGTON,2610,LENAPE REGIONAL,050,LENAPE HIGH SCHOOL,S,95.78%,93.93%,94.15%,95.88%
05,BURLINGTON,2610,LENAPE REGIONAL,060,SHAWNEE HIGH SCHOOL,S,97.64%,97.01%,95.75%,98.10%
05,BURLINGTON,2610,LENAPE REGIONAL,070,SENECA HIGH SCHOOL,S,95.56%,96.32%,94.63%,96.11%
05,BURLINGTON,2610,LENAPE REGIONAL,999,Districtwide Total,D,96.43%,95.83%,95.34%,96.89%
05,BURLINGTON,3010,MAPLE SHADE TWP,030,MAPLE SHADE HIGH SCHOOL,S,92.26%,86.96%,90.64%,89.47%
05,BURLINGTON,3010,MAPLE SHADE TWP,999,Districtwide Total,D,92.26%,86.96%,90.64%,89.47%
05,BURLINGTON,3360,MOORESTOWN TWP,040,MOORESTOWN HIGH SCHOOL,S,95.94%,97.53%,95.64%,95.66%
05,BURLINGTON,3360,MOORESTOWN TWP,999,Districtwide Total,D,95.94%,97.53%,95.64%,95.66%
05,BURLINGTON,3690,NORTHERN BURLINGTON REG,050,NORTHERN BURLINGTON COUNTY REGIONAL HIGH SCHOOL,S,94.74%,93.69%,92.98%,93.45%
05,BURLINGTON,3690,NORTHERN BURLINGTON REG,999,Districtwide Total,D,94.74%,93.69%,92.98%,93.45%
05,BURLINGTON,3920,PALMYRA BORO,050,PALMYRA HIGH SCHOOL,S,82.29%,86.75%,86.05%,83.84%
05,BURLINGTON,3920,PALMYRA BORO,999,Districtwide Total,D,82.29%,86.75%,86.05%,83.84%
05,BURLINGTON,4050,PEMBERTON TWP,055,PEMBERTON TOWNSHIP HIGH SCHOOL,S,84.27%,83.87%,83.67%,85.37%
05,BURLINGTON,4050,PEMBERTON TWP,999,Districtwide Total,D,84.27%,83.87%,83.67%,85.37%
05,BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,050,RANCOCAS VALLEY REGIONAL HIGH SCHOOL,S,91.42%,89.82%,88.89%,89.60%
05,BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,999,Districtwide Total,D,91.42%,89.82%,88.89%,89.60%
05,BURLINGTON,4450,RIVERSIDE TWP,050,RIVERSIDE HIGH SCHOOL,S,89.06%,83.33%,87.50%,87.07%
05,BURLINGTON,4450,RIVERSIDE TWP,999,Districtwide Total,D,89.06%,83.33%,87.50%,87.07%
05,BURLINGTON,5805,WILLINGBORO TWP,053,WILLINGBORO HIGH SCHOOL,S,73.86%,73.15%,62.83%,69.82%
05,BURLINGTON,5805,WILLINGBORO TWP,999,Districtwide Total,D,73.86%,73.15%,62.83%,69.82%
07,CAMDEN,0150,AUDUBON BORO,010,AUDUBON JUNIOR/SENIOR HIGH SCHOOL,S,92.31%,89.31%,90.26%,94.58%
07,CAMDEN,0150,AUDUBON BORO,999,Districtwide Total,D,92.31%,89.31%,90.26%,94.58%
07,CAMDEN,0390,BLACK HORSE PIKE REGIONAL,020,HIGHLAND REGIONAL HIGH SCHOOL,S,88.65%,85.91%,85.53%,91.37%
07,CAMDEN,0390,BLACK HORSE PIKE REGIONAL,030,TIMBER CREEK REGIONAL HIGH SCHOOL,S,91.24%,92.23%,88.74%,93.37%
07,CAMDEN,0390,BLACK HORSE PIKE REGIONAL,050,TRITON REGIONAL HIGH SCHOOL,S,84.44%,85.02%,85.35%,87.74%
07,CAMDEN,0390,BLACK HORSE PIKE REGIONAL,999,Districtwide Total,D,88.08%,87.70%,86.55%,90.77%
07,CAMDEN,0680,CAMDEN CITY,029,DR. CHARLES E. BRIMM MEDICAL ARTS HIGH SCHOOL,S,95.92%,94.34%,97.83%,92.42%
07,CAMDEN,0680,CAMDEN CITY,030,CAMDEN HIGH SCHOOL,S,52.35%,46.78%,42.57%,44.69%
07,CAMDEN,0680,CAMDEN CITY,040,WOODROW WILSON HIGH SCHOOL,S,60.46%,49.83%,46.10%,55.26%
07,CAMDEN,0680,CAMDEN CITY,245,CREATIVE ARTS VILLAGE ACADEMY,S,90.91%,,,
07,CAMDEN,0680,CAMDEN CITY,305,MET EAST HIGH SCHOOL,S,-,83.33%,96.67%,76.19%
07,CAMDEN,0680,CAMDEN CITY,999,Districtwide Total,D,61.70%,53.42%,49.27%,56.89%
07,CAMDEN,0700,CAMDEN COUNTY VOCATIONAL,030,CAMDEN COUNTY TECHNICAL SCHOOL-PENNSAUKEN,S,91.71%,92.81%,92.90%,94.15%
07,CAMDEN,0700,CAMDEN COUNTY VOCATIONAL,040,CAMDEN COUNTY TECHNICAL SCHOOL-GTC,S,93.95%,92.12%,94.64%,94.63%
07,CAMDEN,0700,CAMDEN COUNTY VOCATIONAL,999,Districtwide Total,D,92.89%,92.43%,93.77%,94.41%
07,CAMDEN,0800,CHERRY HILL TWP,030,CHERRY HILL HIGH SCHOOL EAST,S,94.94%,97.74%,96.51%,97.50%
07,CAMDEN,0800,CHERRY HILL TWP,040,CHERRY HILL HIGH SCHOOL WEST,S,88.92%,89.58%,89.66%,91.21%
07,CAMDEN,0800,CHERRY HILL TWP,999,Districtwide Total,D,92.35%,94.08%,93.52%,94.94%
07,CAMDEN,0940,COLLINGSWOOD BORO,030,COLLINGSWOOD HIGH SCHOOL,S,82.87%,82.67%,81.33%,86.55%
07,CAMDEN,0940,COLLINGSWOOD BORO,999,Districtwide Total,D,82.87%,82.67%,81.33%,86.55%
07,CAMDEN,1255,EASTERN CAMDEN COUNTY REG,050,EASTERN REGIONAL HIGH SCHOOL,S,92.22%,94.53%,93.07%,94.25%
07,CAMDEN,1255,EASTERN CAMDEN COUNTY REG,999,Districtwide Total,D,92.22%,93.00%,90.69%,92.53%
07,CAMDEN,1770,GLOUCESTER CITY,050,GLOUCESTER CITY JR. SR. HIGH SCHOOL,S,86.21%,82.86%,86.62%,83.02%
07,CAMDEN,1770,GLOUCESTER CITY,999,Districtwide Total,D,86.21%,82.86%,86.62%,83.02%
07,CAMDEN,1880,HADDON HEIGHTS BORO,050,HADDON HEIGHTS JR-SR HS,S,86.27%,86.77%,87.85%,88.11%
07,CAMDEN,1880,HADDON HEIGHTS BORO,999,Districtwide Total,D,86.27%,86.77%,87.85%,88.11%
07,CAMDEN,1890,HADDON TWP,050,HADDON TOWNSHIP HIGH SCHOOL,S,91.37%,95.95%,89.87%,93.49%
07,CAMDEN,1890,HADDON TWP,999,Districtwide Total,D,91.37%,95.95%,89.87%,93.49%
07,CAMDEN,1900,HADDONFIELD BORO,050,HADDONFIELD MEMORIAL HIGH SCHOOL,S,95.79%,97.71%,100.00%,97.24%
07,CAMDEN,1900,HADDONFIELD BORO,999,Districtwide Total,D,95.79%,97.71%,100.00%,97.24%
07,CAMDEN,2670,LINDENWOLD BORO,005,LINDENWOLD HIGH SCHOOL,S,77.54%,80.25%,85.98%,75.16%
07,CAMDEN,2670,LINDENWOLD BORO,999,Districtwide Total,D,77.54%,80.25%,85.98%,75.16%
07,CAMDEN,4060,PENNSAUKEN TWP,050,PENNSAUKEN HIGH SCHOOL,S,74.72%,82.46%,84.29%,81.52%
07,CAMDEN,4060,PENNSAUKEN TWP,999,Districtwide Total,D,74.72%,82.46%,84.29%,81.52%
07,CAMDEN,4110,PINE HILL BORO,010,OVERBROOK SENIOR HIGH SCHOOL,S,84.65%,77.83%,80.43%,82.47%
07,CAMDEN,4110,PINE HILL BORO,999,Districtwide Total,D,84.65%,77.83%,80.43%,82.47%
07,CAMDEN,5035,STERLING HIGH SCHOOL DIST,050,STERLING HIGH SCHOOL,S,91.63%,87.83%,87.10%,89.86%
07,CAMDEN,5035,STERLING HIGH SCHOOL DIST,999,Districtwide Total,D,91.63%,87.83%,87.10%,89.86%
07,CAMDEN,5820,WINSLOW TWP,010,WINSLOW TOWNSHIP HIGH SCHOOL,S,81.41%,77.58%,75.83%,78.84%
07,CAMDEN,5820,WINSLOW TWP,999,Districtwide Total,D,81.41%,77.58%,75.83%,78.84%
09,CAPE MAY,0720,CAPE MAY CO VOCATIONAL,030,CAPE MAY COUNTY TECHNICAL HIGH SCHOOL,S,86.75%,95.07%,91.18%,93.92%
09,CAPE MAY,0720,CAPE MAY CO VOCATIONAL,999,Districtwide Total,D,86.75%,95.07%,91.18%,93.92%
09,CAPE MAY,2820,LOWER CAPE MAY REGIONAL,050,LOWER CAPE MAY REGIONAL HIGH SCHOOL,S,78.76%,88.52%,80.15%,87.20%
09,CAPE MAY,2820,LOWER CAPE MAY REGIONAL,999,Districtwide Total,D,78.76%,88.52%,80.15%,87.20%
09,CAPE MAY,3130,MIDDLE TWP,050,MIDDLE TOWNSHIP HIGH SCHOOL,S,80.16%,83.33%,82.41%,80.90%
09,CAPE MAY,3130,MIDDLE TWP,999,Districtwide Total,D,80.16%,83.33%,82.41%,80.90%
09,CAPE MAY,3780,OCEAN CITY,050,OCEAN CITY HIGH SCHOOL,S,95.30%,95.60%,99.42%,96.83%
09,CAPE MAY,3780,OCEAN CITY,999,Districtwide Total,D,95.30%,95.60%,99.42%,96.83%
09,CAPE MAY,5790,WILDWOOD CITY,050,WILDWOOD HIGH SCHOOL,S,68.83%,78.65%,81.11%,81.25%
09,CAPE MAY,5790,WILDWOOD CITY,999,Districtwide Total,D,68.83%,78.65%,81.11%,81.25%
11,CUMBERLAND,0540,BRIDGETON CITY,020,BRIDGETON HIGH SCHOOL,S,71.01%,68.38%,67.25%,67.96%
11,CUMBERLAND,0540,BRIDGETON CITY,999,Districtwide Total,D,71.01%,68.38%,67.25%,67.96%
11,CUMBERLAND,0997,CUMBERLAND REGIONAL,030,CUMBERLAND REGIONAL HIGH SCHOOL,S,89.67%,85.51%,84.01%,82.45%
11,CUMBERLAND,0997,CUMBERLAND REGIONAL,999,Districtwide Total,D,89.67%,85.51%,84.01%,82.45%
11,CUMBERLAND,3230,MILLVILLE CITY,050,MILLVILLE SENIOR HIGH SCHOOL,S,86.17%,82.33%,81.57%,84.64%
11,CUMBERLAND,3230,MILLVILLE CITY,999,Districtwide Total,D,86.17%,82.33%,81.57%,82.93%
11,CUMBERLAND,5390,VINELAND CITY,050,VINELAND SENIOR HIGH SCHOOL,S,78.28%,73.52%,73.38%,82.84%
11,CUMBERLAND,5390,VINELAND CITY,999,Districtwide Total,D,76.57%,71.77%,68.73%,80.36%
13,ESSEX,0250,BELLEVILLE TOWN,020,BELLEVILLE HIGH SCHOOL,S,76.40%,85.15%,85.57%,85.92%
13,ESSEX,0250,BELLEVILLE TOWN,999,Districtwide Total,D,76.40%,85.15%,85.57%,85.92%
13,ESSEX,0410,BLOOMFIELD TWP,020,BLOOMFIELD HIGH SCHOOL,S,89.47%,90.38%,89.70%,89.17%
13,ESSEX,0410,BLOOMFIELD TWP,999,Districtwide Total,D,89.47%,90.38%,89.70%,89.17%
13,ESSEX,0660,CALDWELL-WEST CALDWELL,050,JAMES CALDWELL HIGH SCHOOL,S,96.10%,95.90%,96.15%,95.43%
13,ESSEX,0660,CALDWELL-WEST CALDWELL,999,Districtwide Total,D,96.10%,95.90%,96.15%,95.43%
13,ESSEX,0760,CEDAR GROVE TWP,050,CEDAR GROVE HIGH SCHOOL,S,99.23%,97.92%,95.35%,96.08%
13,ESSEX,0760,CEDAR GROVE TWP,999,Districtwide Total,D,99.23%,97.92%,95.35%,96.08%
13,ESSEX,1210,EAST ORANGE,030,EAST ORANGE STEM ACADEMY HIGH SCHOOL,S,93.75%,,,
13,ESSEX,1210,EAST ORANGE,035,EAST ORANGE CAMPUS HIGH SCHOOL,S,63.39%,69.60%,70.15%,60.58%
